id,Tên bác sĩ,Chuyên môn,Tóm tắt,Thông tin chính,Link
doctor_bs-ckii-nguyen-canh-toan,BS.CKII. Nguyễn Cảnh Toàn,Quyền Trưởng khoa Hồi sức tích cực,"Nguyễn Cảnh Toàn là chuyên gia có gần 15 năm kinh nghiệm trong lĩnh vực Hồi sức Cấp cứu và Hồi sức tích cực (ICU). Bác sĩ Toàn chuyên xử trí các ca bệnh nặng, đòi hỏi sự can thiệp chuyên sâu và phối hợp đa chuyên khoa phức tạp. Bác sĩ Toàn tốt nghiệp Bác sĩ Đa khoa tại Học viện Quân Y năm 2012 và có định hướng phát triển chuyên sâu trong lĩnh vực hồi sức nên bác sĩ tiếp tục hoàn thành chương trình Chuyên khoa I Hồi sức Cấp cứu – Chống độc tại Đại học Y khoa Phạm Ngọc Thạch vào năm 2020 và sau đó là tốt nghiệp Chuyên khoa II về Tổ chức và Quản lý Y tế năm 2023.","Nguyễn Cảnh Toàn là chuyên gia có gần 15 năm kinh nghiệm trong lĩnh vực Hồi sức Cấp cứu và Hồi sức tích cực (ICU). | Bác sĩ Toàn chuyên xử trí các ca bệnh nặng, đòi hỏi sự can thiệp chuyên sâu và phối hợp đa chuyên khoa phức tạp. | Bác sĩ Toàn tốt nghiệp Bác sĩ Đa khoa tại Học viện Quân Y năm 2012 và có định hướng phát triển chuyên sâu trong lĩnh vực hồi sức nên bác sĩ tiếp tục hoàn thành chương trình Chuyên khoa I Hồi sức Cấp cứu – Chống độc tại Đại học Y khoa Phạm Ngọc Thạch vào năm 2020 và sau đó là tốt nghiệp Chuyên khoa II về Tổ chức và Quản lý Y tế năm 2023. | Trước khi công tác tại Bệnh viện Đa khoa Quốc tế Hạnh Phúc với vai trò Quyền Trưởng khoa Hồi sức tích cực, Bác sĩ Cảnh Toàn đã trực tiếp điều trị và giữ vai trò quản lý chuyên môn tại nhiều cơ sở y tế lớn. | Bác sĩ từng công tác tại Bệnh viện Đa khoa tỉnh Bình Dương, sau đó đảm nhiệm Trưởng khoa hồi sức cấp cứu tại Bệnh viện Hoàn Mỹ Bình Phước và Trưởng khoa Khám bệnh – Cấp cứu tại Bệnh viện Đại học Y Tân Tạo. | Hồi sức cấp cứu và hồi sức tích cực cho các trường hợp bệnh nặng | Chăm sóc và điều trị người bệnh sau cấp cứu, sau phẫu thuật | Phối hợp đa chuyên khoa trong các ca bệnh phức tạp, nguy cơ cao",https://www.hanhphuchospital.com/bac-si/bs-ckii-nguyen-canh-toan/
doctor_bs-cki-hoang-ngoc-hai,BS.CKI. Hoàng Ngọc Hải,Phó khoa Sản – Phụ khoa,"Bác sĩ Hoàng Ngọc Hải là chuyên gia có hơn 23 năm kinh nghiệm trong lĩnh vực Sản – Phụ khoa với nhiều đóng góp to lớn vào việc nâng cao chất lượng dịch vụ y tế và kết quả điều trị tại Bệnh viện Quốc tế Hạnh Phúc. Năm 2002, bác sĩ Ngọc Hải tốt nghiệp Bác sĩ Đa khoa tại Đại học Y Huế và có bằng Bác sĩ Chuyên khoa I về Sản – Phụ khoa tại Đại học Y Dược Thành phố Hồ Chí Minh vào năm 2009. Bác sĩ Ngọc Hải đã thực hiện hơn 10.000 ca mổ sanh và đỡ sanh, bao gồm cả các trường hợp phức tạp như vết mổ cũ, nhau tiền đạo, và thai kỳ nguy cơ cao, sở hữu thế mạnh về phẫu thuật nội soi, thực hiện thành công các ca phẫu thuật bóc u buồng trứng, u xơ tử cung, cắt tử cung và điều trị thai ngoài tử cung.","Năm 2002, bác sĩ Ngọc Hải tốt nghiệp Bác sĩ Đa khoa tại Đại học Y Huế và có bằng Bác sĩ Chuyên khoa I về Sản – Phụ khoa tại Đại học Y Dược Thành phố Hồ Chí Minh vào năm 2009. | Bác sĩ Hoàng Ngọc Hải là chuyên gia có hơn 23 năm kinh nghiệm trong lĩnh vực Sản – Phụ khoa với nhiều đóng góp to lớn vào việc nâng cao chất lượng dịch vụ y tế và kết quả điều trị tại Bệnh viện Quốc tế Hạnh Phúc. | Bác sĩ Ngọc Hải đã thực hiện hơn 10.000 ca mổ sanh và đỡ sanh, bao gồm cả các trường hợp phức tạp như vết mổ cũ, nhau tiền đạo, và thai kỳ nguy cơ cao, sở hữu thế mạnh về phẫu thuật nội soi, thực hiện thành công các ca phẫu thuật bóc u buồng trứng, u xơ tử cung, cắt tử cung và điều trị thai ngoài tử cung. | Đặc biệt, bác sĩ Hải còn phát hiện và điều trị sớm nhiều trường hợp tiền ung thư phụ khoa và ung thư cổ tử cung, giúp bệnh nhân tránh được các bệnh lý nguy hiểm.",https://www.hanhphuchospital.com/bac-si/bs-cki-hoang-ngoc-hai/
doctor_bs-nguyen-nhat-bao,BS. Nguyễn Nhật Bảo,Bác sĩ Nhi,"Bác sĩ từng tham gia nhiều khóa đào tạo chuyên sâu tại các bệnh viện đầu ngành như Bệnh viện Nhi Đồng 1 và Bệnh viện Chợ Rẫy, tập trung vào lĩnh vực hồi sức cấp cứu nhi, nội soi tiêu hóa nhi và an toàn tiêm chủng. Tốt nghiệp Đại học Y Phạm Ngọc Thạch, bác sĩ Nguyễn Nhật Bảo sớm định hướng theo đuổi chuyên ngành Nhi khoa, với niềm đam mê chăm sóc và điều trị sức khỏe trẻ em. Nội soi dạ dày và đại tràng ở nhi khoa nhằm phát hiện sớm các bệnh lý như viêm dạ dày, HP dạ dày, viêm đại tràng, polyp đại tràng,…","Tốt nghiệp Đại học Y Phạm Ngọc Thạch, bác sĩ Nguyễn Nhật Bảo sớm định hướng theo đuổi chuyên ngành Nhi khoa, với niềm đam mê chăm sóc và điều trị sức khỏe trẻ em. | Bác sĩ từng tham gia nhiều khóa đào tạo chuyên sâu tại các bệnh viện đầu ngành như Bệnh viện Nhi Đồng 1 và Bệnh viện Chợ Rẫy, tập trung vào lĩnh vực hồi sức cấp cứu nhi, nội soi tiêu hóa nhi và an toàn tiêm chủng. | Nội soi dạ dày và đại tràng ở nhi khoa nhằm phát hiện sớm các bệnh lý như viêm dạ dày, HP dạ dày, viêm đại tràng, polyp đại tràng,… | Trước khi công tác tại Bệnh viện Hạnh Phúc, bác sĩ Bảo từng làm việc tại Bệnh viện Sản Nhi tỉnh Đắk Lắk, đảm nhiệm điều trị nội khoa nhi và thực hiện nội soi tiêu hóa cho trẻ em. | Khám và điều trị bệnh lý nhi khoa | Khám sàng lọc trước tiêm ngừa",https://www.hanhphuchospital.com/bac-si/bs-nguyen-nhat-bao/
doctor_ts-bs-nguyen-nhat-nam,TS.BS. Nguyễn Nhật Nam,Bác sĩ Nội tiết,"Nguyễn Nhật Nam được biết đến là một bác sĩ uy tín trong lĩnh vực Nội tiết, đặc biệt là các bệnh lý nội tiết ở trẻ em, phụ nữ và người lớn với hơn 09 năm kinh nghiệm. Nguyễn Nhật Nam tốt nghiệp Bác sĩ Đa khoa tại Đại học Y Dược TP.HCM, sau đó hoàn thành chương trình Bác sĩ Nội trú chuyên ngành Nội tiết tại cùng trường và tốt nghiệp Tiến sĩ tại Đại học Y Đài Bắc, Đài Loan – top 500 trường đại học thế giới. Nguyễn Nhật Nam có thế mạnh nổi bật trong chẩn đoán và điều trị bệnh lý dậy thì sớm ở trẻ em, giúp trẻ bảo tồn được chiều cao lý tưởng khi trưởng thành, giảm nguy cơ các rối loạn chuyển hóa trong tương lai và hạn chế thay đổi về mặt tâm lý khi trẻ phải đối mặt với các triệu chứng dậy thì ở độ tuổi sớm hơn thông thường.","Nguyễn Nhật Nam được biết đến là một bác sĩ uy tín trong lĩnh vực Nội tiết, đặc biệt là các bệnh lý nội tiết ở trẻ em, phụ nữ và người lớn với hơn 09 năm kinh nghiệm. | Nguyễn Nhật Nam tốt nghiệp Bác sĩ Đa khoa tại Đại học Y Dược TP.HCM, sau đó hoàn thành chương trình Bác sĩ Nội trú chuyên ngành Nội tiết tại cùng trường và tốt nghiệp Tiến sĩ tại Đại học Y Đài Bắc, Đài Loan – top 500 trường đại học thế giới. | Trẻ em: Dậy thì sớm, chậm tăng trưởng, đái tháo đường, bệnh lý tuyến giáp…. | Người lớn: Đái tháo đường, bệnh lý tuyến giáp, tuyến yên, tuyến thượng thận. | Nguyễn Nhật Nam có thế mạnh nổi bật trong chẩn đoán và điều trị bệnh lý dậy thì sớm ở trẻ em, giúp trẻ bảo tồn được chiều cao lý tưởng khi trưởng thành, giảm nguy cơ các rối loạn chuyển hóa trong tương lai và hạn chế thay đổi về mặt tâm lý khi trẻ phải đối mặt với các triệu chứng dậy thì ở độ tuổi sớm hơn thông thường.",https://www.hanhphuchospital.com/bac-si/ts-bs-nguyen-nhat-nam/
doctor_bs-cki-le-anh-tai,BS.CKI. Lê Anh Tài,Bác sĩ Sản – Phụ khoa,"Với kinh nghiệm hơn 20 năm, bác sĩ Tài đã làm việc tại nhiều cơ sở y tế khác nhau trên toàn quốc, được đồng nghiệp và người bệnh đánh giá cao về chuyên môn sâu và cam kết cung cấp dịch vụ chăm sóc toàn diện. Bác sĩ Lê Anh Tài tốt nghiệp bác sĩ Đa khoa tại Đại học Y Dược Huế vào năm 2002 và có bằng Bác sĩ Chuyên khoa I về Sản – Phụ khoa tại Đại học Y Dược Thành phố Hồ Chí Minh vào năm 2008.","Với kinh nghiệm hơn 20 năm, bác sĩ Tài đã làm việc tại nhiều cơ sở y tế khác nhau trên toàn quốc, được đồng nghiệp và người bệnh đánh giá cao về chuyên môn sâu và cam kết cung cấp dịch vụ chăm sóc toàn diện. | Bác sĩ Lê Anh Tài tốt nghiệp bác sĩ Đa khoa tại Đại học Y Dược Huế vào năm 2002 và có bằng Bác sĩ Chuyên khoa I về Sản – Phụ khoa tại Đại học Y Dược Thành phố Hồ Chí Minh vào năm 2008.",https://www.hanhphuchospital.com/bac-si/bs-cki-le-anh-tai/
doctor_bs-cki-pham-thi-thanh-van,BS.CKI. Phạm Thị Thanh Vân,Bác sĩ Nhi sơ sinh,"Với hơn 17 năm kinh nghiệm chuyên sâu trong lĩnh vực Nhi khoa và Sơ sinh, bác sĩ Phạm Thị Thanh Vân là chuyên gia uy tín được các bậc phụ huynh tin tưởng lựa chọn để chăm sóc sức khỏe cho con em mình. Bác sĩ Phạm Thị Thanh Vân tốt nghiệp Bác sĩ Đa khoa tại Đại học Y khoa Phạm Ngọc Thạch vào năm 2005. Sau đó, tiếp tục theo học và hoàn thành chương trình đào tạo Bác sĩ Chuyên khoa I về Nhi khoa tại Đại học Y Dược Thành phố Hồ Chí Minh vào năm 2013.","Với hơn 17 năm kinh nghiệm chuyên sâu trong lĩnh vực Nhi khoa và Sơ sinh, bác sĩ Phạm Thị Thanh Vân là chuyên gia uy tín được các bậc phụ huynh tin tưởng lựa chọn để chăm sóc sức khỏe cho con em mình. | Bác sĩ Phạm Thị Thanh Vân tốt nghiệp Bác sĩ Đa khoa tại Đại học Y khoa Phạm Ngọc Thạch vào năm 2005. | Sau đó, tiếp tục theo học và hoàn thành chương trình đào tạo Bác sĩ Chuyên khoa I về Nhi khoa tại Đại học Y Dược Thành phố Hồ Chí Minh vào năm 2013.",https://www.hanhphuchospital.com/bac-si/bs-cki-pham-thi-thanh-van/
doctor_bs-cki-le-thi-anh,BS.CKI. Lê Thị Ánh,Bác sĩ Nhi khoa,"Bằng tình yêu nghề và lòng quý mến trẻ em, bác sĩ Ánh đã lựa chọn phát triển kinh nghiệm và năng lực chuyên sâu trong lĩnh vực Nhi khoa thông qua việc không ngừng nỗ lực nâng cao kiến thức chuyên môn, tích lũy kinh nghiệm làm việc, trau dồi y đức, hướng tới mục tiêu vì sức khỏe và chất lượng cuộc sống cho các bé. Bác sĩ Lê Thị Ánh tốt nghiệp Bác sĩ Đa khoa tại Đại học Y Dược Thái Bình vào năm 2011 và tiếp tục nhận bằng Bác sĩ Chuyên khoa I về Nhi khoa vào năm 2016 tại Đại học Y dược Thành phố Hồ Chí Minh.","Bác sĩ Lê Thị Ánh tốt nghiệp Bác sĩ Đa khoa tại Đại học Y Dược Thái Bình vào năm 2011 và tiếp tục nhận bằng Bác sĩ Chuyên khoa I về Nhi khoa vào năm 2016 tại Đại học Y dược Thành phố Hồ Chí Minh. | Bằng tình yêu nghề và lòng quý mến trẻ em, bác sĩ Ánh đã lựa chọn phát triển kinh nghiệm và năng lực chuyên sâu trong lĩnh vực Nhi khoa thông qua việc không ngừng nỗ lực nâng cao kiến thức chuyên môn, tích lũy kinh nghiệm làm việc, trau dồi y đức, hướng tới mục tiêu vì sức khỏe và chất lượng cuộc sống cho các bé.",https://www.hanhphuchospital.com/bac-si/bs-cki-le-thi-anh/
doctor_bs-cki-nguyen-thi-van-anh,BS.CKI. Nguyễn Thị Vân Anh,Bác sĩ Y học cổ truyền – Phục hồi chức năng,"Sau khi tốt nghiệp Học viện Y Dược Cổ Truyền Việt Nam, bác sĩ Vân Anh đã tiếp tục hoàn thành Chuyên khoa I – Y học Cổ truyền tại Đại học Y Hà Nội với định hướng chuyên sâu về phục hồi chức năng. Điều trị Nhi khoa: Bệnh về bàn chân (chân trước áp, chân khoèo nhẹ, chân vẹo gót, tật bàn chân bẹt…); Bệnh về cột sống; Tật vẹo cổ; PHCN vận động (bại não,chậm phát triển vận động, sau phẫu thuật gãy xương…). Thần kinh: Điều trị DC tai biến mạch máu não, liệt dây thần kinh số 7, đau sau zona, sụp mi mắt, các tổn thương đám rối thần kinh, đau đầu, mất ngủ, rối loạn tiền đình.","Sau khi tốt nghiệp Học viện Y Dược Cổ Truyền Việt Nam, bác sĩ Vân Anh đã tiếp tục hoàn thành Chuyên khoa I – Y học Cổ truyền tại Đại học Y Hà Nội với định hướng chuyên sâu về phục hồi chức năng. | Điều trị Nhi khoa: Bệnh về bàn chân (chân trước áp, chân khoèo nhẹ, chân vẹo gót, tật bàn chân bẹt…); Bệnh về cột sống; Tật vẹo cổ; PHCN vận động (bại não,chậm phát triển vận động, sau phẫu thuật gãy xương…) | Thần kinh: Điều trị DC tai biến mạch máu não, liệt dây thần kinh số 7, đau sau zona, sụp mi mắt, các tổn thương đám rối thần kinh, đau đầu, mất ngủ, rối loạn tiền đình. | Đau thần kinh tọa, điều trị đau mạn tính bằng phương pháp châm cứu, xoa bóp bấm huyệt, cấy chỉ kết hợp vật lý trị liệu hiện đại.. | Trước khi công tác tại Bệnh viện Đa khoa Quốc tế Hạnh Phúc, bác sĩ từng đảm nhiệm vị trí Trưởng khoa Y học Cổ truyền – Phục hồi chức năng tại Bệnh viện Hoàn Mỹ Bình Phước, trực tiếp tham gia điều trị và phục hồi vận động cho hàng trăm bệnh nhân mỗi năm. | Bác sĩ tin rằng phục hồi chức năng không đơn thuần giúp người bệnh “đi lại được” mà là giúp họ tìm lại niềm vui và tự tin trong cuộc sống hằng ngày. | Việc kết hợp điều trị y học cổ truyền và phục hồi chức năng sẽ giúp mang lại hiệu quả điều trị cao cho người bệnh",https://www.hanhphuchospital.com/bac-si/bs-cki-nguyen-thi-van-anh/
doctor_bs-cki-bui-long-than,BS.CKI. Bùi Long Thân,Bác sĩ Chẩn đoán Hình ảnh,"Với 23 năm kinh nghiệm trong lĩnh vực Chẩn đoán hình ảnh, Bác sĩ Bùi Long Thân được đánh giá cao về chuyên môn y tế và sự cam kết mang đến kết quả chẩn đoán chính xác, tin cậy, góp phần nâng cao hiệu quả điều trị cho người bệnh. Bác sĩ Bùi Long Thân tốt nghiệp bác sĩ Y Khoa tại Đại học Y khoa Huế vào năm 2000 và tiếp tục nhận bằng Bác sĩ Chuyên khoa I về Chẩn đoán hình ảnh tại Đại học Y Dược Thành phố Hồ Chí Minh năm 2008.","Với 23 năm kinh nghiệm trong lĩnh vực Chẩn đoán hình ảnh, Bác sĩ Bùi Long Thân được đánh giá cao về chuyên môn y tế và sự cam kết mang đến kết quả chẩn đoán chính xác, tin cậy, góp phần nâng cao hiệu quả điều trị cho người bệnh. | Bác sĩ Bùi Long Thân tốt nghiệp bác sĩ Y Khoa tại Đại học Y khoa Huế vào năm 2000 và tiếp tục nhận bằng Bác sĩ Chuyên khoa I về Chẩn đoán hình ảnh tại Đại học Y Dược Thành phố Hồ Chí Minh năm 2008.",https://www.hanhphuchospital.com/bac-si/bs-cki-bui-long-than/
doctor_bs-ckii-nguyen-thi-thu-thuy,BS.CKII. Nguyễn Thị Thu Thủy,Bác sĩ Tiêu hóa Nhi,"Nguyễn Thị Thu Thủy là chuyên gia về Nhi khoa, với hơn 20 kinh nghiệm trong lĩnh vực Tiêu hóa – Gan mật – Dinh dưỡng trẻ em, là bác sĩ chuyên khoa 2 đầu ngành về lĩnh vực nội soi tiêu hóa Nhi, là hội viên hội Nội soi Tiêu hóa Việt Nam. Khám và tư vấn chuyên sâu dinh dưỡng bệnh lý: Trẻ chậm tăng cân, trào ngược dạ dày thực quản, bệnh lý gan mật tụy, biếng ăn… Bác sĩ Thủy công tác tại khoa Tiêu hóa bệnh viện Nhi Đồng 2 ngay từ những ngày đầu tiên sau tốt nghiệp Bác sĩ Y khoa Đại học Y Dược TP.HCM năm 2001.","Nguyễn Thị Thu Thủy là chuyên gia về Nhi khoa, với hơn 20 kinh nghiệm trong lĩnh vực Tiêu hóa – Gan mật – Dinh dưỡng trẻ em, là bác sĩ chuyên khoa 2 đầu ngành về lĩnh vực nội soi tiêu hóa Nhi, là hội viên hội Nội soi Tiêu hóa Việt Nam. | Bác sĩ Thủy công tác tại khoa Tiêu hóa bệnh viện Nhi Đồng 2 ngay từ những ngày đầu tiên sau tốt nghiệp Bác sĩ Y khoa Đại học Y Dược TP.HCM năm 2001. | Bác sĩ luôn không ngừng học tập, nâng cao trình độ chuyên môn, khẳng định vị thế bác sĩ có trình độ chuyên môn giỏi với 2 tấm bằng tốt nghiệp bác sĩ Chuyên khoa I Nhi và Chuyên khoa II chuyên ngành Tiêu hóa Nhi đều xếp loại giỏi tại Đại học Y dược Thành phố Hồ Chí Minh. | Sau hơn 20 năm công tác, BS.CKII. | Nguyễn Thị Thu Thủy hiện là cánh chim đầu đàn cho nhiều thế hệ bác sĩ trẻ theo sau, tham gia công tác giảng dạy, hướng dẫn lâm sàng cho sinh viên, bác sĩ nội trú, bác sĩ chuyên khoa 1… | Của nhiều trường liên kết Trường – Viện và hiện tại là bác sĩ phó trưởng khoa, quyền quản lý khoa Tiêu hóa Bệnh viện Nhi Đồng 2. | Khám và tư vấn chuyên sâu dinh dưỡng bệnh lý: Trẻ chậm tăng cân, trào ngược dạ dày thực quản, bệnh lý gan mật tụy, biếng ăn… | Kết quả nong thực quản trên trẻ teo thực quản bẩm sinh đã phẫu thuật… | Khám tổng quát, tầm soát bệnh lý tiêu hóa trẻ em: Theo dõi tăng trưởng, tư vấn dinh dưỡng, tầm soát bệnh lý đường tiêu hóa | Kết quả điều trị xuất huyết tiêu hóa do vỡ dãn tĩnh mạch thực quản,",https://www.hanhphuchospital.com/bac-si/bs-ckii-nguyen-thi-thu-thuy/
