id,Nhóm gói,Tên gói,Giá,Giới thiệu gói khám,Dịch vụ trong gói,Điều kiện và điều khoản,Chuẩn bị trước tầm soát,Link
package_goi-kham-suc-khoe-sinh-san,Hỗ trợ sinh sản,Gói Khám Sức khỏe Sinh sản,8720000,"Hành trình tìm con của mỗi cặp vợ chồng bắt đầu với một đánh giá toàn diện về sức khỏe sinh sản. Với gói Khám Sức khỏe Sinh sản, đội ngũ bác sĩ và chuyên gia sẽ thực hiện các xét nghiệm nội tiết, siêu âm chuyên sâu và tư vấn phác đồ điều trị tối ưu.",Tư vấn hoặc khám hiếm muộn | Kháng thể giang mai đặc hiệu | Viêm gan siêu vi B kháng nguyên bề mặt | Viêm gan siêu vi C kháng thể | Xét nghiệm kháng thể Chlamydia trachomatis | Tầm soát kháng thể HIV I & II | Xét nghiệm kháng thể Rubella | Dự trữ buồng trứng (AMH) | Prolactin | T4 Tự Do | Hormone kích thích tuyến giáp | Tinh dịch đồ | Siêu âm ngả âm đạo,Có thể phát sinh chi phí ngoài gói theo chỉ định bác sĩ. | Không bao gồm thuốc kê đơn và các mục không nêu trong gói. | Gói không được chuyển nhượng. | Giá và điều khoản có thể thay đổi theo chính sách bệnh viện.,,https://www.hanhphuchospital.com/package/goi-kham-suc-khoe-sinh-san/
package_goi-ivf-standard,Hỗ trợ sinh sản,Gói IVF Standard,89900000,"Gói IVF Standard bao gồm các bước cốt lõi trong quy trình thụ tinh trong ống nghiệm – từ kích thích buồng trứng, chọc hút trứng, thụ tinh và chuyển phôi tươi – được thực hiện bởi đội ngũ bác sĩ giàu kinh nghiệm cùng hệ thống labo đạt chuẩn quốc tế.","Kích thích buồng trứng | Tư vấn hoặc khám hiếm muộn (4 lần) | Tư vấn và hướng dẫn tiêm thuốc kích thích buồng trứng | Xét nghiệm nội tiết: Estradiol, LH, Progesterone (2 lần) | Thuốc kích trứng tối thiểu | Siêu âm kích trứng (4 lần) | Chọc hút trứng | Khám tiền mê | Bộ xét nghiệm tiền phẫu (hoặc chọc hút dịch nang buồng trứng đơn giản nếu cần) | Thực hiện trong phòng Lab: thu trứng, xử lý trứng trong lab | Tạo phôi | Chuẩn bị tinh trùng | Tiêm tinh trùng vào bào tương trứng (ICSI) | Nuôi phôi thường quy (D0-D3) | Nuôi cấy phôi nang thường quy (D4 – D6) | Chuyển phôi và thử thai | Chuyển phôi tươi | Xét nghiệm Beta hCG",Có thể phát sinh chi phí ngoài gói theo chỉ định bác sĩ. | Đã bao gồm thuốc kích trứng. | Có thể phát sinh thêm thuốc điều dưỡng ngoài gói theo chỉ định bác sĩ. | Gói không được chuyển nhượng. | Giá và điều khoản có thể thay đổi theo chính sách bệnh viện.,,https://www.hanhphuchospital.com/package/goi-ivf-standard/
package_goi-ivf-advanced,Hỗ trợ sinh sản,Gói IVF Advanced,129000000,"Ngoài các bước cơ bản của quy trình IVF, gói IVF Advanced mở rộng thêm các dịch vụ nâng cao như lượng thuốc và công nghệ nuôi phôi timelapse, hỗ trợ nâng cao hiệu quả điều trị.","Kích thích buồng trứng | Tư vấn hoặc khám hiếm muộn (4 lần) | Tư vấn và hướng dẫn tiêm thuốc kích thích buồng trứng | Xét nghiệm nội tiết: Estradiol, LH, Progesterone (2 lần) | Thuốc kích trứng tiêu chuẩn | Siêu âm kích trứng (4 lần) | Chọc hút trứng | Khám tiền mê | Bộ xét nghiệm tiền phẫu (hoặc chọc hút dịch nang buồng trứng đơn giản nếu cần) | Thực hiện trong phòng Lab: thu trứng, xử lý trứng trong ống nghiệm | Tạo phôi | Chuẩn bị tinh trùng | Tiêm tinh trùng vào bào tương noãn (ICSI) | Nuôi phôi bằng công nghệ Time-lapse (từ ngày 0 – 3) | Nuôi phôi nang bằng công nghệ Time-lapse (từ ngày 4 – 6) | Chuyển phôi và thử thai | Chuyển phôi tươi | Xét nghiệm Beta hCG",Có thể phát sinh chi phí ngoài gói theo chỉ định bác sĩ. | Đã bao gồm thuốc kích trứng. | Có thể phát sinh thêm thuốc điều dưỡng ngoài gói theo chỉ định bác sĩ. | Gói không được chuyển nhượng. | Giá và điều khoản có thể thay đổi theo chính sách bệnh viện.,,https://www.hanhphuchospital.com/package/goi-ivf-advanced/
package_goi-choc-hut-trung-va-tao-phoi,Hỗ trợ sinh sản,Gói Chọc hút Trứng và Tạo Phôi,38000000,"Sau giai đoạn kích thích buồng trứng, đội ngũ y Bác sĩ, chuyên gia sẽ tiến hành thực hiện chọc hút trứng, lấy trứng ra khỏi cơ thể của người vợ. Trứng sau đó sẽ được kết hợp với tinh trùng của người chồng trong môi trường nuôi cấy tối ưu để tạo phôi.",Khám tiền mê | Chọc hút trứng | Chuẩn bị tinh trùng | Tiêm tinh trùng vào bào tương noãn | Nuôi phôi thường quy (N0 – N3),,,https://www.hanhphuchospital.com/package/goi-choc-hut-trung-va-tao-phoi/
package_goi-chuyen-phoi-tru-dong,Hỗ trợ sinh sản,Gói Chuyển Phôi Trữ đông,19000000,"Sau khi trứng được thụ tinh và phát triển thành phôi, những phôi chất lượng tốt nhất sẽ được bảo quản bằng phương pháp đông lạnh để sử dụng trong tương lai. Khi người mẹ sẵn sàng về mặt sức khỏe và nội mạc tử cung đạt điều kiện lý tưởng, phôi sẽ được rã đông và chuyển vào tử cung để làm tổ và phát triển.",Tư vấn hoặc khám hiếm muộn | Xét nghiệm beta hCG | Xét nghiệm định lượng progesterone | Siêu âm ngả âm đạo | Rã đông phôi | Chuyển phôi,Có thể phát sinh chi phí ngoài gói theo chỉ định bác sĩ. | Không bao gồm thuốc kê đơn và các mục không nêu trong gói. | Gói không được chuyển nhượng. | Giá và điều khoản có thể thay đổi theo chính sách bệnh viện.,,https://www.hanhphuchospital.com/package/goi-chuyen-phoi-tru-dong/
package_goi-kich-thich-va-choc-hut-trung,Hỗ trợ sinh sản,Gói Kích thích và Chọc hút trứng,60000000,"Cơ thể người mẹ sẽ được hỗ trợ bằng phác đồ kích thích buồng trứng để tạo ra những nang trứng khỏe mạnh, tạo điều kiện tối ưu cho quá trình thụ thai. Sau khi nang trứng trưởng thành sẽ được hút ra để chuẩn bị cho quá trình trữ đông hoặc thụ tinh",Kích thích trứng | Tư vấn hoặc khám hiếm muộn | Tư vấn và hướng dẫn tiêm thuốc kích thích buồng trứng | Siêu âm kích trứng | Thuốc kích trứng | Xét nghiệm nội tiết | Chọc hút trứng | Xét nghiệm tiền phẫu | Khám tiền mê,Có thể phát sinh chi phí ngoài gói theo chỉ định bác sĩ. | Không bao gồm thuốc kê đơn và các mục không nêu trong gói. | Gói không được chuyển nhượng. | Giá và điều khoản có thể thay đổi theo chính sách bệnh viện.,,https://www.hanhphuchospital.com/package/goi-kich-thich-va-choc-hut-trung/
package_goi-kham-day-thi-som-be-gai,Khám trẻ em,Gói khám dậy thì sớm (bé gái),2250000,"Sàng lọc và đánh giá nguy cơ dậy thì sớm - tình trạng ảnh hưởng đến chiều cao, tâm lý và sức khỏe lâu dài của trẻ. Can thiệp sớm giúp đảm bảo sức khỏe trẻ.",Tư vấn chuyên khoa Nội tiết | Xét nghiệm Hormone FSH (Follicle Stimulating Hormone) | Xét nghiệm Hormone LH (Luteinizing Hormone) | Xét nghiệm Estradiol | Chụp X-quang xương bàn tay (đánh giá tuổi xương) | Siêu âm tiểu khung (tử cung/buồng trứng),Có thể phát sinh chi phí ngoài gói theo chỉ định bác sĩ. | Không bao gồm thuốc kê đơn và các mục không nêu trong gói. | Gói không được chuyển nhượng. | Gói có hiệu lực kích hoạt trong 365 ngày kể từ ngày mua. | Điều khoản có thể thay đổi theo thời điểm.,,https://www.hanhphuchospital.com/package/goi-kham-day-thi-som-be-gai/
package_goi-kham-day-thi-som-be-trai,Khám trẻ em,Gói khám dậy thì sớm (bé trai),2650000,"Sàng lọc và đánh giá nguy cơ dậy thì sớm - tình trạng ảnh hưởng đến chiều cao, tâm lý và sức khỏe lâu dài của trẻ. Can thiệp sớm giúp đảm bảo sức khỏe trẻ.",Tư vấn chuyên khoa Nội tiết | Xét nghiệm Hormone FSH (Follicle Stimulating Hormone) | Xét nghiệm Hormone LH (Luteinizing Hormone) | Xét nghiệm Testosterone | Chụp X-quang xương bàn tay (đánh giá tuổi xương) | Siêu âm Doppler tinh hoàn,Có thể phát sinh chi phí ngoài gói theo chỉ định bác sĩ. | Không bao gồm thuốc kê đơn và các mục không nêu trong gói. | Gói không được chuyển nhượng. | Gói có hiệu lực kích hoạt trong 365 ngày kể từ ngày mua. | Điều khoản có thể thay đổi theo thời điểm.,,https://www.hanhphuchospital.com/package/goi-kham-day-thi-som-be-trai/
package_goi-kham-tong-quat-nhi-khoa-tieu-chuan-be-duoi-2-tuoi,Khám trẻ em,Gói khám tổng quát Nhi tiêu chuẩn (bé dưới 2 tuổi),3000000,"Gói khám tổng quát Nhi khoa tiêu chuẩn dành cho bé dưới 2 tuổi tại Hạnh Phúc giúp ba mẹ theo dõi toàn diện sự phát triển thể chất, tinh thần và sức khỏe tổng quát của bé, đồng thời phát hiện sớm các vấn đề tiềm ẩn để can thiệp kịp thời.","Đo sinh hiệu & chỉ số điều dưỡng (bao gồm đo vòng đầu cho bé <1 tuổi, huyết áp) | Khám tim – phổi | Khám da liễu | Khám Tai – Mũi – Họng cơ bản | Khám Răng – Hàm – Mặt cơ bản | Khám Mắt cơ bản | Đánh giá tăng trưởng (BMI + bảng WHO/CDC) | Sàng lọc phát triển ASQ-3 | Công thức máu (CBC) | Vi chất cơ bản (Sắt, Canxi, Ferritin, Vitamin D) | Đường huyết lúc đói | Chức năng gan cơ bản (AST/ALT) | Chức năng thận (Ure / Creatinin) | Tổng phân tích nước tiểu | Siêu âm bụng",Có thể phát sinh chi phí ngoài gói theo chỉ định bác sĩ. | Không bao gồm thuốc kê đơn và các mục không nêu trong gói. | Gói không được chuyển nhượng. | Gói có hiệu lực kích hoạt trong 365 ngày kể từ ngày mua. | Điều khoản có thể thay đổi theo thời điểm.,,https://www.hanhphuchospital.com/package/goi-kham-tong-quat-nhi-khoa-tieu-chuan-be-duoi-2-tuoi/
package_goi-kham-tong-quat-nhi-chuyen-sau-be-duoi-2-tuoi,Khám trẻ em,Gói khám tổng quát Nhi chuyên sâu (bé dưới 2 tuổi),6900000,"Gói khám tổng quát Nhi khoa chuyên sâu dành cho bé dưới 2 tuổi tại Hạnh Phúc giúp ba mẹ theo dõi toàn diện sự phát triển thể chất, tinh thần và sức khỏe tổng quát của bé, đồng thời phát hiện sớm các vấn đề tiềm ẩn để can thiệp kịp thời.","Đo sinh hiệu & chỉ số điều dưỡng (bao gồm đo vòng đầu cho bé <1 tuổi, huyết áp) | Khám tim – phổi | Khám da liễu | Khám Tai – Mũi – Họng chuyên khoa | Khám Răng – Hàm – Mặt chuyên khoa | Khám Mắt chuyên khoa | Đánh giá tăng trưởng (BMI + bảng WHO/CDC) | Sàng lọc phát triển ASQ-3 | Sàng lọc tâm lý (chậm phát triển / ASD / ADHD) | Công thức máu (CBC) | Vi chất cơ bản (Sắt, Canxi, Ferritin, Vitamin D) | Vi chất mở rộng (Kẽm, Folate, Mg, Vitamin B12) | Đường huyết lúc đói | Albumin | Chức năng gan cơ bản (AST/ALT) | Chức năng gan nâng cao & đông máu | Chức năng thận (Ure / Creatinin) | Điện giải đồ | Tổng phân tích nước tiểu | Siêu âm bụng",Có thể phát sinh chi phí ngoài gói theo chỉ định bác sĩ. | Không bao gồm thuốc kê đơn và các mục không nêu trong gói. | Gói không được chuyển nhượng. | Gói có hiệu lực kích hoạt trong 365 ngày kể từ ngày mua. | Điều khoản có thể thay đổi theo thời điểm.,,https://www.hanhphuchospital.com/package/goi-kham-tong-quat-nhi-chuyen-sau-be-duoi-2-tuoi/
